Tuning Logit hyper-parameters

Tuning hyper-parameters for precision

Best parameters set found on development set:

{'C': 10.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.001, 'warm_start': True}
0.739 (+/-0.056) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.001, 'warm_start': True}
0.739 (+/-0.056) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 1e-05, 'warm_start': True}
0.739 (+/-0.056) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001, 'warm_start': True}
0.739 (+/-0.056) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.001, 'warm_start': True}
0.739 (+/-0.056) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'sag', 'tol': 1e-05, 'warm_start': True}
0.738 (+/-0.053) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.0001, 'warm_start': True}
0.735 (+/-0.062) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.001, 'warm_start': True}
0.739 (+/-0.056) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'saga', 'tol': 1e-05, 'warm_start': True}
0.739 (+/-0.056) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.0001, 'warm_start': True}
0.737 (+/-0.054) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.001, 'warm_start': True}
0.739 (+/-0.056) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 1e-05, 'warm_start': True}
0.739 (+/-0.056) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.0001, 'warm_start': True}
0.739 (+/-0.056) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.001, 'warm_start': True}
0.739 (+/-0.056) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 1e-05, 'warm_start': True}
0.739 (+/-0.056) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001, 'warm_start': True}
0.739 (+/-0.056) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.001, 'warm_start': True}
0.739 (+/-0.056) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'sag', 'tol': 1e-05, 'warm_start': True}
0.740 (+/-0.055) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.0001, 'warm_start': True}
0.735 (+/-0.059) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.001, 'warm_start': True}
0.739 (+/-0.056) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga', 'tol': 1e-05, 'warm_start': True}
0.739 (+/-0.056) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.0001, 'warm_start': True}
0.739 (+/-0.055) for {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.001, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 1e-05, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.0001, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.001, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 1e-05, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.001, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'sag', 'tol': 1e-05, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.0001, 'warm_start': True}
0.737 (+/-0.062) for {'C': 1.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.001, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'saga', 'tol': 1e-05, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.0001, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.001, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 1e-05, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.0001, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.001, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 1e-05, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.001, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'sag', 'tol': 1e-05, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.0001, 'warm_start': True}
0.738 (+/-0.062) for {'C': 1.0, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.001, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'saga', 'tol': 1e-05, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.0001, 'warm_start': True}
0.738 (+/-0.062) for {'C': 1.0, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.001, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 1e-05, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.0001, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.001, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 1e-05, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.001, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'sag', 'tol': 1e-05, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.0001, 'warm_start': True}
0.740 (+/-0.062) for {'C': 1.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.001, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga', 'tol': 1e-05, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.0001, 'warm_start': True}
0.737 (+/-0.063) for {'C': 1.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.001, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 250, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 1e-05, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 250, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.0001, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 250, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.001, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 250, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 1e-05, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 250, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 250, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.001, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 250, 'penalty': 'l2', 'solver': 'sag', 'tol': 1e-05, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 250, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.0001, 'warm_start': True}
0.742 (+/-0.064) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 250, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.001, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 250, 'penalty': 'l2', 'solver': 'saga', 'tol': 1e-05, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 250, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.0001, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 250, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.001, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 1e-05, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.0001, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.001, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 1e-05, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.001, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'sag', 'tol': 1e-05, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.0001, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.001, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'saga', 'tol': 1e-05, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.0001, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.001, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 1e-05, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.0001, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.001, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 1e-05, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.001, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'sag', 'tol': 1e-05, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.0001, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.001, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga', 'tol': 1e-05, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.0001, 'warm_start': True}
0.743 (+/-0.060) for {'C': 1.0, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.001, 'warm_start': True}
0.755 (+/-0.043) for {'C': 10.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 1e-05, 'warm_start': True}
0.755 (+/-0.043) for {'C': 10.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.0001, 'warm_start': True}
0.755 (+/-0.043) for {'C': 10.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.001, 'warm_start': True}
0.755 (+/-0.043) for {'C': 10.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 1e-05, 'warm_start': True}
0.755 (+/-0.043) for {'C': 10.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.0001, 'warm_start': True}
0.755 (+/-0.043) for {'C': 10.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'lbfgs', 'tol': 0.001, 'warm_start': True}
0.755 (+/-0.043) for {'C': 10.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'sag', 'tol': 1e-05, 'warm_start': True}
0.755 (+/-0.043) for {'C': 10.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.0001, 'warm_start': True}
0.755 (+/-0.045) for {'C': 10.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'sag', 'tol': 0.001, 'warm_start': True}
0.755 (+/-0.043) for {'C': 10.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'saga', 'tol': 1e-05, 'warm_start': True}
0.755 (+/-0.043) for {'C': 10.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.0001, 'warm_start': True}
0.755 (+/-0.042) for {'C': 10.0, 'class_weight': None, 'max_iter': 250, 'penalty': 'l2', 'solver': 'saga', 'tol': 0.001, 'warm_start': True}
0.755 (+/-0.043) for {'C': 10.0, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 1e-05, 'warm_start': True}
0.755 (+/-0.043) for {'C': 10.0, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'newton-cg', 'tol': 0.0001, 'warm_start': True}
